Accelerator,Platform,Category,Total_Functions,Flagged_Functions,Manually_Analyzed_Functions,VRC,NER
Google TPU,coral,Relevant Functions,159,14,1,90.00,99.37
Google TPU,coral,KD Entry Point,159,15,7,90.00,95.60
Google TPU,coral,SMem Handling,159,18,4,90.00,97.48
NXP NPU,nxp,Relevant Functions,1273,13,4,85.00,99.69
NXP NPU,nxp,KD Entry Point,1273,9,7,70.00,99.45
NXP NPU,nxp,SMem Handling,1273,16,7,85.00,99.45
TMMA,ti,Relevant Functions,6138,8,7,80.00,99.89
TMMA,ti,KD Entry Point,6138,9,7,90.00,99.89
TMMA,ti,SMem Handling,6138,16,2,100.00,99.97
HAILO NPU,hailo,Relevant Functions,296,9,3,85.00,98.99
HAILO NPU,hailo,KD Entry Point,296,19,15,95.00,94.93
HAILO NPU,hailo,SMem Handling,296,24,4,100.00,98.65
NVIDIA GPU,nvidia,Relevant Functions,7624,30,14,80.00,99.82
NVIDIA GPU,nvidia,KD Entry Point,7624,41,20,90.00,99.74
NVIDIA GPU,nvidia,SMem Handling,7624,46,28,90.00,99.63
AWS INF,aws,Relevant Functions,635,7,5,75.00,99.21
AWS INF,aws,KD Entry Point,635,11,6,90.00,99.06
AWS INF,aws,SMem Handling,635,19,15,88.33,97.64
