Accelerator,Platform,Category,Total_Functions,Flagged_Functions,Manually_Analyzed_Functions,VRC,NER
Google TPU,coral,Relevant Functions,159,13,1,90.00,99.37
Google TPU,coral,KD Entry Point,159,15,9,90.00,94.34
Google TPU,coral,SMem Handling,159,18,7,90.00,95.60
NXP NPU,nxp,Relevant Functions,1273,14,3,85.00,99.76
NXP NPU,nxp,KD Entry Point,1273,10,7,70.00,99.45
NXP NPU,nxp,SMem Handling,1273,19,7,85.00,99.45
TMMA,ti,Relevant Functions,6138,6,4,85.00,99.93
TMMA,ti,KD Entry Point,6138,9,6,85.00,99.90
TMMA,ti,SMem Handling,6138,15,12,90.00,99.80
HAILO NPU,hailo,Relevant Functions,296,8,2,85.00,99.32
HAILO NPU,hailo,KD Entry Point,296,19,13,95.00,95.61
HAILO NPU,hailo,SMem Handling,296,23,4,100.00,98.65
NVIDIA GPU,nvidia,Relevant Functions,7624,29,12,80.00,99.84
NVIDIA GPU,nvidia,KD Entry Point,7624,40,16,90.00,99.79
NVIDIA GPU,nvidia,SMem Handling,7624,45,34,88.33,99.55
AWS INF,aws,Relevant Functions,635,8,5,73.33,99.21
AWS INF,aws,KD Entry Point,635,12,8,90.00,98.74
AWS INF,aws,SMem Handling,635,17,15,80.00,97.64
