Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,dma_buf_phys_convert,dma_operations,AIARelevantFunction,80,**AIARelevantFunction Score (80)**: The function `dma_buf_phys_convert` is involved in converting a DMA buffer file descriptor to a physical address. It utilizes several functions that are critical...,[struct dma_buf_phys_file; struct dma_buf; struct dma_buf_attachment; struct sg_table],[dma_addr; dma_buf; dma_buf_attachment; sg_table]
2,dma_buf_phys_convert,dma_operations,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `dma_buf_phys_convert` is involved in converting a DMA buffer file descriptor to a physical address, which is a critical operation for enabling an A...",[dma_buf_phys_file; dma_buf; dma_buf_attachment; sg_table],[dma_addr; dma_buf; device; sg_table]
3,dma_buf_phys_convert,dma_operations,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `dma_buf_phys_convert` is involved in managing DMA buffers, which is critical for sharing memory with AI Accelerators. It utilizes functions like `d...",[dma_buf_phys_file; dma_buf; dma_buf_attachment; sg_table],[dma_buf; dma_buf_attachment; sg_table; dma_addr]
4,drivers/dma-buf/heaps/carveout-heap.c:carveout_dma_heap_allocate,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `carveout_dma_heap_allocate` is involved in memory allocation for DMA buffers, which is relevant for AI Accelerators that require efficient memory m...",[struct dma_buf_export_info; struct carveout_dma_heap_buffer],[paddr; vaddr]
5,drivers/dma-buf/heaps/carveout-heap.c:dma_heap_map_dma_buf,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `dma_heap_map_dma_buf` is involved in mapping a DMA buffer to a device, which is relevant for AI Accelerator integration. It utilizes the `dma_map_s...",[struct dma_buf_attachment; struct sg_table; struct carveout_dma_heap_buffer],[dma_address; paddr; vaddr]
6,carveout_dma_heap_allocate,dma_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `carveout_dma_heap_allocate` is involved in memory allocation for DMA buffers, which is relevant for AI Accelerator integration. It allocates a buff...",[dma_buf_export_info; carveout_dma_heap_buffer],[paddr; vaddr]
7,user_copy:dma_buf_phys_ioctl,user_copy_operations,AIARelevantFunction,70,"**AIARelevantFunction (70%)**: The function `dma_buf_phys_ioctl` interacts with DMA buffers, which are often used in AI Accelerator contexts for efficient memory sharing. The function includes a ca...",[struct dma_buf_phys_data],[fd; phys]
8,dma_buf_phys_ioctl,ioctl_operations,AIARelevantFunction,60,"**AIARelevantFunction (60%)**: The function `dma_buf_phys_ioctl` interacts with DMA buffers, which are often used in AI Accelerator contexts for efficient memory management and data transfer. The f...",[struct dma_buf_phys_data],[fd; phys]
9,drivers/rpmsg/virtio_rpmsg_bus.c:rpmsg_sg_init,functions_by_file,AIARelevantFunction,40,"**AIARelevantFunction Score (40)**: The function `rpmsg_sg_init` initializes a scatter-gather list, which is relevant for memory management in the context of DMA operations. It uses the `sg_set_pag...",struct scatterlist,dma_address; length
10,drivers/rpmsg/virtio_rpmsg_bus.c:virtio_rpmsg_create_ept,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `virtio_rpmsg_create_ept` does not involve any operations related to shared memory management or interaction with an AI Accelerator (AIA). It primari...,None,None
11,drivers/rpmsg/virtio_rpmsg_bus.c:virtio_rpmsg_sendto,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `virtio_rpmsg_sendto` does not interact with an AI Accelerator (AIA) or shared memory (SMem) mechanisms. It primarily sends messages through the RPMs...,None,None
12,drivers/rpmsg/virtio_rpmsg_bus.c:rpmsg_send_offchannel_raw,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `rpmsg_send_offchannel_raw` does not directly interact with an AI Accelerator (AIA) or shared memory management relevant to AIA. It primarily handles...,[struct rpmsg_hdr],[src; dst; reserved; len; flags; data]
13,drivers/rpmsg/virtio_rpmsg_bus.c:get_a_tx_buf,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `get_a_tx_buf` does not interact with any AI Accelerator (AIA) related memory management or communication patterns. It primarily deals with managing...,None,None
14,drivers/rpmsg/virtio_rpmsg_bus.c:rpmsg_recv_done,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `rpmsg_recv_done` does not interact with an AI Accelerator (AIA) or shared memory management relevant to AIA operations. It primarily handles messag...,[struct rpmsg_hdr],[src; dst; reserved; len]
15,drivers/rpmsg/virtio_rpmsg_bus.c:rpmsg_recv_single,functions_by_file,AIARelevantFunction,0,"**AIARelevantFunction Score (0)**: The function `rpmsg_recv_single` does not directly involve sharing memory with an AI Accelerator (AIA). Instead, it handles message reception over a remote proced...",[struct rpmsg_hdr; struct scatterlist],[src; dst; reserved; len; flags; data; dma_address]
16,drivers/rpmsg/virtio_rpmsg_bus.c:virtio_rpmsg_destroy_ept,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `virtio_rpmsg_destroy_ept` does not interact with any AI Accelerator (AIA) relevant functions or memory management patterns associated with shared me...,None,None
17,drivers/dma-buf/heaps/carveout-heap.c:dma_heap_mmap,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `dma_heap_mmap` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily focuses on mapping a DMA buffer ...,None,None
18,drivers/dma-buf/heaps/carveout-heap.c:dma_heap_attach,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `dma_heap_attach` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily deals with attaching a DMA buf...,None,None
19,drivers/dma-buf/heaps/carveout-heap.c:dma_heap_unmap_dma_buf,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `dma_heap_unmap_dma_buf` does not interact with an AI Accelerator (AIA) or shared memory (SMem) relevant to AIA operations. It primarily deals with ...,None,None
