Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,import_page_map,functions_by_file,AIARelevantFunction,90,**AIARelevantFunction Score (90%)**: The function `import_page_map` is heavily involved in managing memory pages that are likely to be shared with an AI Accelerator (AIA). It uses `get_user_pages` ...,[struct um_desc; struct sg_table; struct scatterlist],[dmaHandle; user_vaddr; physical address; dma_address]
2,_Import,functions_by_file,AIARelevantFunction,85,**AIARelevantFunction Score (85)**: The function `_Import` is heavily involved in managing memory that is likely shared with an AI Accelerator (AIA). It performs operations such as verifying memory...,[struct um_desc],[user_vaddr; dmaHandle; pageCount; extraPage; offset]
3,gckVIDMEM_NODE_WrapUserMemory,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `gckVIDMEM_NODE_WrapUserMemory` is involved in managing memory that can be shared with an AI Accelerator (AIA). It utilizes the `dma_buf` structure,...",[gcsUSER_MEMORY_DESC; dma_buf],[handle; dmabuf; logical; physical; size]
4,_UserMemoryAttach,functions_by_file,AIARelevantFunction,80,**AIARelevantFunction (80%)**: The function `_UserMemoryAttach` is involved in managing memory for an AI Accelerator by attaching user memory. It utilizes the `gckOS_Allocate` function to allocate ...,[gcsATTACH_DESC; um_desc; LINUX_MDL],[user_vaddr; physical; dmaHandle]
5,release_page_map,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `release_page_map` is involved in managing DMA memory operations, which is critical for AI Accelerator integration. It uses `dma_sync_sg_for_device`...",[struct um_desc; struct sg_table; struct scatterlist],[dmaHandle; dma_address]
6,drv_ioctl,user_copy_operations,AIARelevantFunction,80,"**AIARelevantFunction Score (80%)**: The function `drv_ioctl` is involved in handling IOCTL commands that interact with hardware, specifically an AI Accelerator (AIA). It uses `copy_from_user()` an...",[DRIVER_ARGS; gcsHAL_INTERFACE; gcsHAL_PROFILER_INTERFACE],[InputBuffer; OutputBuffer; InputBufferSize; OutputBufferSize; devIndex; physicalAddress; logical; dmabuf]
7,gckVIDMEM_NODE_LockCPU,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction (70%)**: The function `gckVIDMEM_NODE_LockCPU` is involved in managing video memory, which can be relevant for AI Accelerator integration, particularly in scenarios where vide...",None,None
8,_ConvertPhysical,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70%)**: The function `_ConvertPhysical` is involved in converting a physical address to a GPU physical address, which is relevant for memory management in the context o...",None,None
9,_UserMemoryPhysical,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction (70%)**: The function `_UserMemoryPhysical` is involved in obtaining physical addresses for user memory, which is relevant for AI Accelerator integration. It utilizes the `dma...",[struct um_desc; struct LINUX_MDL],[dmaHandle; physical; page; pfns]
10,_UserMemoryCache,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `_UserMemoryCache` is involved in managing memory cache operations that are relevant for DMA operations, which is crucial for AI Accelerators (AIA)....",[struct um_desc; struct sg_table],[dmaHandle; user_vaddr; dma_address]
1,drv_ioctl,user_copy_operations,Relevant_KD_Entry_Point,90,"**AIARelevantFunction Score (80%)**: The function `drv_ioctl` is involved in handling IOCTL commands that interact with hardware, specifically an AI Accelerator (AIA). It uses `copy_from_user()` an...",[DRIVER_ARGS; gcsHAL_INTERFACE; gcsHAL_PROFILER_INTERFACE],[InputBuffer; OutputBuffer; InputBufferSize; OutputBufferSize; devIndex; physicalAddress; logical; dmabuf]
2,import_page_map,functions_by_file,Relevant_KD_Entry_Point,80,**AIARelevantFunction Score (90%)**: The function `import_page_map` is heavily involved in managing memory pages that are likely to be shared with an AI Accelerator (AIA). It uses `get_user_pages` ...,[struct um_desc; struct sg_table; struct scatterlist],[dmaHandle; user_vaddr; physical address; dma_address]
3,gckVIDMEM_NODE_WrapUserMemory,functions_by_file,Relevant_KD_Entry_Point,70,"**AIARelevantFunction Score (80)**: The function `gckVIDMEM_NODE_WrapUserMemory` is involved in managing memory that can be shared with an AI Accelerator (AIA). It utilizes the `dma_buf` structure,...",[gcsUSER_MEMORY_DESC; dma_buf],[handle; dmabuf; logical; physical; size]
4,_Import,functions_by_file,Relevant_KD_Entry_Point,70,**AIARelevantFunction Score (85)**: The function `_Import` is heavily involved in managing memory that is likely shared with an AI Accelerator (AIA). It performs operations such as verifying memory...,[struct um_desc],[user_vaddr; dmaHandle; pageCount; extraPage; offset]
5,gckVIDMEM_NODE_LockCPU,functions_by_file,Relevant_KD_Entry_Point,60,"**AIARelevantFunction (70%)**: The function `gckVIDMEM_NODE_LockCPU` is involved in managing video memory, which can be relevant for AI Accelerator integration, particularly in scenarios where vide...",None,None
6,_UserMemoryAttach,functions_by_file,Relevant_KD_Entry_Point,60,**AIARelevantFunction (80%)**: The function `_UserMemoryAttach` is involved in managing memory for an AI Accelerator by attaching user memory. It utilizes the `gckOS_Allocate` function to allocate ...,[gcsATTACH_DESC; um_desc; LINUX_MDL],[user_vaddr; physical; dmaHandle]
1,gckOS_CopyToUserData,user_copy_operations,Message_Structure_Handling,100,**AIARelevantFunction Score (0)**: The function `gckOS_CopyToUserData` does not interact with an AI Accelerator (AIA) or perform any operations related to shared memory management that would typica...,None,None
2,gckVIDMEM_NODE_WrapUserMemory,functions_by_file,Message_Structure_Handling,90,"**AIARelevantFunction Score (80)**: The function `gckVIDMEM_NODE_WrapUserMemory` is involved in managing memory that can be shared with an AI Accelerator (AIA). It utilizes the `dma_buf` structure,...",[gcsUSER_MEMORY_DESC; dma_buf],[handle; dmabuf; logical; physical; size]
3,_UserMemoryAttach,functions_by_file,Message_Structure_Handling,90,**AIARelevantFunction (80%)**: The function `_UserMemoryAttach` is involved in managing memory for an AI Accelerator by attaching user memory. It utilizes the `gckOS_Allocate` function to allocate ...,[gcsATTACH_DESC; um_desc; LINUX_MDL],[user_vaddr; physical; dmaHandle]
4,_Import,functions_by_file,Message_Structure_Handling,90,**AIARelevantFunction Score (85)**: The function `_Import` is heavily involved in managing memory that is likely shared with an AI Accelerator (AIA). It performs operations such as verifying memory...,[struct um_desc],[user_vaddr; dmaHandle; pageCount; extraPage; offset]
5,release_page_map,functions_by_file,Message_Structure_Handling,90,"**AIARelevantFunction Score (80)**: The function `release_page_map` is involved in managing DMA memory operations, which is critical for AI Accelerator integration. It uses `dma_sync_sg_for_device`...",[struct um_desc; struct sg_table; struct scatterlist],[dmaHandle; dma_address]
6,import_page_map,dma_operations,Message_Structure_Handling,90,**AIARelevantFunction Score (85%)**: The function `import_page_map` is heavily involved in managing memory pages that are likely to be shared with an AI Accelerator (AIA). It uses `pin_user_pages` ...,[struct um_desc; struct sg_table; struct scatterlist],[dmaHandle; user_vaddr; pageCount; physical address; dma_address]
7,drv_ioctl,user_copy_operations,Message_Structure_Handling,85,"**AIARelevantFunction Score (80%)**: The function `drv_ioctl` is involved in handling IOCTL commands that interact with hardware, specifically an AI Accelerator (AIA). It uses `copy_from_user()` an...",[DRIVER_ARGS; gcsHAL_INTERFACE; gcsHAL_PROFILER_INTERFACE],[InputBuffer; OutputBuffer; InputBufferSize; OutputBufferSize; devIndex; physicalAddress; logical; dmabuf]
8,gckVIDMEM_Free,functions_by_file,Message_Structure_Handling,80,**AIARelevantFunction Score (0)**: The function `gckVIDMEM_Free` does not directly interact with an AI Accelerator (AIA) or manage shared memory for an AIA. It primarily deals with freeing video me...,[gcuVIDMEM_NODE; gckVIDMEM],[physical address; kvaddr; processID; bytes]
9,_UserMemoryPhysical,functions_by_file,Message_Structure_Handling,80,"**AIARelevantFunction (70%)**: The function `_UserMemoryPhysical` is involved in obtaining physical addresses for user memory, which is relevant for AI Accelerator integration. It utilizes the `dma...",[struct um_desc; struct LINUX_MDL],[dmaHandle; physical; page; pfns]
10,gckOS_CopyFromUserData,user_copy_operations,Message_Structure_Handling,80,**AIARelevantFunction Score (0%)**: The function `gckOS_CopyFromUserData` does not directly interact with an AI Accelerator (AIA) or manage shared memory specifically for an AIA. It primarily focus...,None,None
11,_UpdatePIDInfoListNode,functions_by_file,Message_Structure_Handling,60,**AIARelevantFunction Score (0%)**: The function `_UpdatePIDInfoListNode` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily deals with managing pr...,[gcsVIDMEM_PIDINFO],[pid; ref]
12,_UserMemoryCache,functions_by_file,Message_Structure_Handling,60,"**AIARelevantFunction Score (70)**: The function `_UserMemoryCache` is involved in managing memory cache operations that are relevant for DMA operations, which is crucial for AI Accelerators (AIA)....",[struct um_desc; struct sg_table],[dmaHandle; user_vaddr; dma_address]
13,gckVIDMEM_NODE_LockCPU,functions_by_file,Message_Structure_Handling,50,"**AIARelevantFunction (70%)**: The function `gckVIDMEM_NODE_LockCPU` is involved in managing video memory, which can be relevant for AI Accelerator integration, particularly in scenarios where vide...",None,None
