,,,Relevant Functions,,,,,,,,,,,KD Entry Point,,,,,,,,,,,SMem Handling,,,,,,,,,,
Accelerator,Platform,Threshold,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1
Google TPU,coral,50,159,13,91.82,1,99.37,90.00,12,1,0.0833,1.0000,0.1538,159,12,92.45,9,94.34,90.00,12,1,0.0833,1.0000,0.1538,159,17,89.31,4,97.48,100.00,17,1,0.0588,1.0000,0.1111
Google TPU,coral,52.5,159,13,91.82,1,99.37,90.00,12,1,0.0833,1.0000,0.1538,159,12,92.45,9,94.34,90.00,12,1,0.0833,1.0000,0.1538,159,17,89.31,4,97.48,100.00,17,1,0.0588,1.0000,0.1111
Google TPU,coral,55,159,13,91.82,1,99.37,90.00,12,1,0.0833,1.0000,0.1538,159,12,92.45,9,94.34,90.00,12,1,0.0833,1.0000,0.1538,159,17,89.31,4,97.48,100.00,17,1,0.0588,1.0000,0.1111
Google TPU,coral,57.5,159,13,91.82,1,99.37,90.00,12,1,0.0833,1.0000,0.1538,159,12,92.45,9,94.34,90.00,12,1,0.0833,1.0000,0.1538,159,17,89.31,4,97.48,100.00,17,1,0.0588,1.0000,0.1111
Google TPU,coral,60,159,13,91.82,1,99.37,90.00,12,1,0.0833,1.0000,0.1538,159,12,92.45,9,94.34,90.00,12,1,0.0833,1.0000,0.1538,159,17,89.31,4,97.48,100.00,17,1,0.0588,1.0000,0.1111
Google TPU,coral,62.5,159,13,91.82,1,99.37,90.00,11,1,0.0909,1.0000,0.1667,159,12,92.45,9,94.34,90.00,11,1,0.0909,1.0000,0.1667,159,17,89.31,4,97.48,100.00,12,1,0.0833,1.0000,0.1538
Google TPU,coral,65,159,13,91.82,1,99.37,90.00,11,1,0.0909,1.0000,0.1667,159,12,92.45,9,94.34,90.00,11,1,0.0909,1.0000,0.1667,159,17,89.31,4,97.48,100.00,12,1,0.0833,1.0000,0.1538
Google TPU,coral,67.5,159,13,91.82,1,99.37,90.00,11,1,0.0909,1.0000,0.1667,159,12,92.45,9,94.34,90.00,11,1,0.0909,1.0000,0.1667,159,17,89.31,4,97.48,100.00,12,1,0.0833,1.0000,0.1538
Google TPU,coral,70,159,13,91.82,1,99.37,90.00,11,1,0.0909,1.0000,0.1667,159,12,92.45,9,94.34,90.00,11,1,0.0909,1.0000,0.1667,159,17,89.31,4,97.48,100.00,12,1,0.0833,1.0000,0.1538
