Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,mc_alloc_internal,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `mc_alloc_internal` is primarily responsible for allocating memory chunks, which is crucial for managing memory between the CPU and the AI Accelerat...",[struct mem_chunk],[pa (physical address); va (virtual address); mc_handle (memory chunk handle); size; nc_id (neuron channel ID)]
2,ncdev_mem_alloc,user_copy_operations,AIARelevantFunction,80,**AIARelevantFunction Score (80)**: The function `ncdev_mem_alloc` is involved in memory allocation that is likely relevant to an AI Accelerator (AIA). It utilizes the `mc_alloc_align` function to ...,[struct neuron_ioctl_mem_alloc],[mem_handle; size; dram_channel; dram_region; nc_id]
3,ncdev_mem_get_info_deprecated,user_copy_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `ncdev_mem_get_info_deprecated` interacts with memory management, specifically retrieving information about a memory chunk associated with an AI Acc...",[struct neuron_ioctl_mem_get_info; struct mem_chunk],[mem_handle; pa; mmap_offset; mc_handle]
4,ncdev_mem_get_pa_deprecated,user_copy_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `ncdev_mem_get_pa_deprecated` is involved in obtaining a physical address (PA) from a memory handle, which is relevant for AI Accelerator integratio...",[struct neuron_ioctl_mem_get_pa; struct mem_chunk],[mem_handle; pa; mc_handle; pa (from mem_chunk)]
5,ncdev_mem_buf_copy,user_copy_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `ncdev_mem_buf_copy` is involved in copying memory buffers, which is relevant for AI Accelerator integration as it handles memory management and dat...",[struct neuron_ioctl_mem_buf_copy; struct neuron_ioctl_mem_buf_copy64],[mem_handle; buffer; size; offset; copy_to_mem_handle; mc->va; mc->pa; mc->mc_handle]
6,ncdev_bar_read,user_copy_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `ncdev_bar_read` interacts with memory management and data transfer, which are relevant for AI Accelerator integration. It allocates memory using `k...",[mem_chunk; neuron_device],[pa (physical address); va (virtual address); size; nc_id]
7,ncdev_ioctl,ioctl_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70%)**: The function `ncdev_ioctl` handles various IOCTL commands that are likely related to memory management and DMA operations, which are critical for AI Accelerator...",[struct neuron_device; struct ncdev],[device_index; attached_processes; ncdev; pdev]
1,ncdev_crwl_nc_range_mark,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `ncdev_crwl_nc_range_mark` does not directly interact with an AI Accelerator (AIA) or manage shared memory (SMem) in a way that is typical for AIA in...,[struct neuron_ioctl_crwl_nc_map_ext],[None identified]
2,ncdev_semaphore_ioctl,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `ncdev_semaphore_ioctl` does not interact with an AI Accelerator (AIA) or shared memory (SMem) in a manner typical of AIA-related functions. It prima...,[struct neuron_ioctl_semaphore],[nc_id; semaphore_index; value]
3,ncdev_mem_alloc,user_copy_operations,Relevant_KD_Entry_Point,90,**AIARelevantFunction Score (80)**: The function `ncdev_mem_alloc` is involved in memory allocation that is likely relevant to an AI Accelerator (AIA). It utilizes the `mc_alloc_align` function to ...,[struct neuron_ioctl_mem_alloc],[mem_handle; size; dram_channel; dram_region; nc_id]
4,ncdev_mem_buf_copy,user_copy_operations,Relevant_KD_Entry_Point,90,"**AIARelevantFunction Score (70)**: The function `ncdev_mem_buf_copy` is involved in copying memory buffers, which is relevant for AI Accelerator integration as it handles memory management and dat...",[struct neuron_ioctl_mem_buf_copy; struct neuron_ioctl_mem_buf_copy64],[mem_handle; buffer; size; offset; copy_to_mem_handle; mc->va; mc->pa; mc->mc_handle]
5,ncdev_ioctl,ioctl_operations,Relevant_KD_Entry_Point,90,"**AIARelevantFunction Score (70%)**: The function `ncdev_ioctl` handles various IOCTL commands that are likely related to memory management and DMA operations, which are critical for AI Accelerator...",[struct neuron_device; struct ncdev],[device_index; attached_processes; ncdev; pdev]
6,ncdev_misc_ioctl,ioctl_operations,Relevant_KD_Entry_Point,90,**AIARelevantFunction Score (0)**: The function `ncdev_misc_ioctl` does not directly involve any operations that relate to sharing memory with an AI Accelerator (AIA). It primarily serves as an IOC...,None,None
7,ncdev_mem_get_info_deprecated,user_copy_operations,Relevant_KD_Entry_Point,80,"**AIARelevantFunction Score (70)**: The function `ncdev_mem_get_info_deprecated` interacts with memory management, specifically retrieving information about a memory chunk associated with an AI Acc...",[struct neuron_ioctl_mem_get_info; struct mem_chunk],[mem_handle; pa; mmap_offset; mc_handle]
8,ncdev_acquire_neuron_ds,user_copy_operations,Relevant_KD_Entry_Point,80,**AIARelevantFunction Score (0)**: The function `ncdev_acquire_neuron_ds` does not directly interact with an AI Accelerator (AIA) or perform operations related to shared memory management that woul...,[struct neuron_ioctl_neuron_ds_info],[pid; mmap_offset; size]
9,ncdev_cinit_set_state,user_copy_operations,Relevant_KD_Entry_Point,80,**AIARelevantFunction Score (0)**: The function `ncdev_cinit_set_state` does not directly involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily handles setting...,[struct neuron_ioctl_cinit_set],[nc_id]
10,ncdev_mem_get_pa_deprecated,user_copy_operations,Relevant_KD_Entry_Point,80,"**AIARelevantFunction Score (70)**: The function `ncdev_mem_get_pa_deprecated` is involved in obtaining a physical address (PA) from a memory handle, which is relevant for AI Accelerator integratio...",[struct neuron_ioctl_mem_get_pa; struct mem_chunk],[mem_handle; pa; mc_handle; pa (from mem_chunk)]
11,ncdev_nc_model_started_count,user_copy_operations,Relevant_KD_Entry_Point,80,"**AIARelevantFunction Score (0)**: The function `ncdev_nc_model_started_count` does not interact with an AI Accelerator (AIA) or perform any operations related to shared memory management, DMA, or ...",[struct neuron_ioctl_nc_model_started_count],[nc_id; started_count]
12,ncdev_bar_read,user_copy_operations,Relevant_KD_Entry_Point,60,"**AIARelevantFunction Score (70)**: The function `ncdev_bar_read` interacts with memory management and data transfer, which are relevant for AI Accelerator integration. It allocates memory using `k...",[mem_chunk; neuron_device],[pa (physical address); va (virtual address); size; nc_id]
1,ncdev_device_basic_info,user_copy_operations,Message_Structure_Handling,100,"**AIARelevantFunction Score (0)**: The function `ncdev_device_basic_info` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It does not pin user pages, iterate...",[struct neuron_ioctl_device_basic_info],[None identified]
2,ncdev_compatible_version,user_copy_operations,Message_Structure_Handling,100,"**AIARelevantFunction Score (0)**: The function `ncdev_compatible_version` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It does not pin user pages, iterat...",[struct neuron_ioctl_compatible_version],[None identified]
3,ncdev_crwl_nc_range_mark,user_copy_operations,Message_Structure_Handling,100,**AIARelevantFunction Score (0)**: The function `ncdev_crwl_nc_range_mark` does not directly interact with an AI Accelerator (AIA) or manage shared memory (SMem) in a way that is typical for AIA in...,[struct neuron_ioctl_crwl_nc_map_ext],[None identified]
4,ncdev_device_bdf,user_copy_operations,Message_Structure_Handling,100,"**AIARelevantFunction Score (0)**: The function `ncdev_device_bdf` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It simply retrieves the bus number, slot, ...",[struct neuron_ioctl_device_bdf],[bus_number; slot; func]
