Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,_Import,functions_by_file,AIARelevantFunction,90,**AIARelevantFunction Score (90)**: The function `_Import` is heavily involved in managing memory that is likely shared with an AI Accelerator (AIA). It performs operations that include verifying m...,[um_desc],[dmaHandle; user_vaddr; physical; size; pageCount]
2,import_page_map,dma_operations,AIARelevantFunction,90,**AIARelevantFunction Score (90)**: The function `import_page_map` is heavily involved in managing memory pages that are likely to be shared with an AI Accelerator (AIA). It uses `pin_user_pages` a...,[struct um_desc; struct sg_table; struct scatterlist; struct page],[dmaHandle; user_vaddr; pageCount; physical address; dma_address]
3,gckIOMMU_Construct,functions_by_file,AIARelevantFunction,80,**AIARelevantFunction Score (80)**: The function `gckIOMMU_Construct` is involved in memory management that is crucial for the integration of an AI Accelerator (AIA). It utilizes `dma_map_page` and...,[gcsIOMMU; device; iommu_domain],[dmaHandle; phys; paddingPageDmaHandle]
4,_GFPAlloc,dma_operations,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `_GFPAlloc` is involved in memory allocation and management, which is crucial for AI Accelerator integration. It utilizes `dma_map_page` and `dma_ma...",[LINUX_MDL; gfp_mdl_priv],[dmaHandle; addr; bytes; numPages]
5,gckVIDMEM_NODE_WrapUserMemory,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `gckVIDMEM_NODE_WrapUserMemory` is involved in managing memory that may be shared with an AI Accelerator (AIA). It utilizes the `dma_buf` structure,...",[gcsUSER_MEMORY_DESC; dma_buf; gcuVIDMEM_NODE],[handle; dmabuf; physical; logical; size]
6,_UserMemoryAttach,functions_by_file,AIARelevantFunction,80,**AIARelevantFunction (80)**: The function `_UserMemoryAttach` is involved in managing memory that is likely shared with an AI Accelerator (AIA). It allocates a user memory descriptor (`um_desc`) a...,[gcsATTACH_DESC; um_desc; LINUX_MDL],[userMem.memory; userMem.physical; userMem.size; dmaHandle]
7,_UserMemoryPhysical,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction (80%)**: The function `_UserMemoryPhysical` is involved in obtaining physical addresses for user memory, which is critical for memory management in the context of an AI Accele...",[struct um_desc; struct LINUX_MDL],[dmaHandle; physical; pageCount; extraPage]
8,release_page_map,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `release_page_map` is involved in managing DMA operations, which are critical for AI Accelerator integration. It uses `dma_sync_sg_for_device` and `...",[struct um_desc; struct sg_table; struct scatterlist],[dmaHandle; dma_address]
9,drv_ioctl,user_copy_operations,AIARelevantFunction,80,**AIARelevantFunction Score (80%)**: The function `drv_ioctl` is involved in handling IOCTL commands that interact with the AI Accelerator (AIA). It utilizes the `copy_from_user` and `copy_to_user`...,[DRIVER_ARGS; gcsHAL_INTERFACE; gcsHAL_PROFILER_INTERFACE],[InputBuffer; OutputBuffer; devIndex; physicalAddress; logical; handle]
10,_GFPMapKernel,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction (70%)**: The function `_GFPMapKernel` is involved in memory management, specifically mapping kernel memory for use by an AI Accelerator. It utilizes the `vmap` function to cre...",[LINUX_MDL],[dmaHandle; addr; numPages]
